english	icelandic
amount	magn
area    area
barrelfish  rek.adili
blue.whiting	kolmunni
bottom	ibotni
bottom.temp	botnhiti
capelin	lodna
category	flokkur
catfish	steinbitur
cod	torskur
common.dab	sandkoli
dab	blalanga
day	dags
deep.redfish	djupkarfi
depth	dypi
drag	dregin
fish.species	fteg
fishing.day	vedags
fishing.grounds	veidisvaedi
fishing.month	veman
flatfish	flatf
gear	faeri
gear.type	veidarf
gear.type.two	tvo.veidarf
gear.type.two.l	tvo.veidarf.1
gr.silver.smelt	gullllax
gray.sole	langlura
greenland.halibut	graluda
gridcell	reitur
gr.silver.smelt gulllax
haddock	ysa
halibut	luda
harbor	hoflina
harbor  hoflinum
hatch   hlerar
head.depth	hoflinu.dypi
head.height	hoflinu.hiti
height	haed
herring	sild
home.port	heimah
hooks	onglar
hour	klst
id	visir
landing.day	ldags
landing.month	lman
landing.port	lhofn
lat lat
leg.bag leggpoki
lemon.sole	tylura
length	lengd
ling	langa
lon lon
mackerel	makrill
megrim	storkj
mesh.size	moskvi
monkfish	skotus
month	man
name	heiti
nephrops	humar
night	naetur
norwegian.herring	norskislsild
number.per.kilo	fjikilo
ocean.redfish	uthafskarfi
offer	bjod
other	annarf
owner	eigandi
pearlside	gulldepla
phone.number	simi
plaice	skarkoli
port	hofn
redfish	karfi
ref.number	einknr
ref.station	einkst
rope    grandarar   
rough.dab	skrapfl
rough.dab	skrapflura
saithe	ufsi
sensor	nemi
ship.number	skip.nr
ship.number	skipnr
ship.size	brl
shrimp	raekja
size	staerd
skates	skata
smagridcell	reitur
small.gridcell	smareitur
spotted.catfish	hlyri
sq.meters	fermetrar
starry.ray	tindask
story.nr    saga.nr
total   total
trawl.bag	leggpokki
trawl.length	togle
trawl.name	nafn.vorpu
trawl.time	togtimi
trawl.window	legggluggi
tusk	keila
type	gerd
whiting	lysa
wire.length	virle
wolffish	steinb
year	ar
